"ID","clust","coords.x1","coords.x2","optional"
1,1,27.18179,-0.0111,TRUE
2,2,119.795,-0.0358333,TRUE
3,3,119.743,-0.0366667,TRUE
4,4,-91.52,-0.04,TRUE
5,4,-91.53,-0.04,TRUE
6,5,-91.54,-0.05,TRUE
7,5,-91.55,-0.05,TRUE
8,5,-91.56,-0.05,TRUE
9,6,119.773,-0.103611,TRUE
10,7,100.357,-0.132306,TRUE
11,8,119.806,-0.146556,TRUE
12,9,127.14337,-0.1787,TRUE
13,10,99.7426,-0.202111,TRUE
14,11,-90.59,-0.23,TRUE
15,11,-90.57,-0.24,TRUE
16,11,-90.58,-0.24,TRUE
17,12,-91.38,-0.26,TRUE
18,12,-91.39,-0.26,TRUE
19,13,-91.44,-0.26,TRUE
20,12,-91.37,-0.27,TRUE
21,13,-91.43,-0.27,TRUE
22,13,-91.44,-0.27,TRUE
23,14,-90.54,-0.28,TRUE
24,14,-90.57,-0.28,TRUE
25,15,-91.35,-0.31,TRUE
26,16,-91.66,-0.31,TRUE
27,16,-91.67,-0.32,TRUE
28,15,-91.34,-0.33,TRUE
29,16,-91.66,-0.33,TRUE
30,17,-91.38,-0.37,TRUE
31,14,-90.55,-0.3,TRUE
32,15,-91.36,-0.3,TRUE
33,16,-91.65,-0.3,TRUE
34,18,127.10951,-0.41478,TRUE
35,19,130.57,-0.42,TRUE
36,20,130.69,-0.45,TRUE
37,20,130.69,-0.45,TRUE
38,20,130.7,-0.45,TRUE
39,20,130.69,-0.46,TRUE
40,21,130.45,-0.51,TRUE
41,21,130.46,-0.51,TRUE
42,22,130.67,-0.51,TRUE
43,23,130.74,-0.51,TRUE
44,23,130.74,-0.51,TRUE
45,21,130.46,-0.52,TRUE
46,22,130.67,-0.52,TRUE
47,23,130.72,-0.53,TRUE
48,24,130.25,-0.54,TRUE
49,24,130.25,-0.54,TRUE
50,25,130.63,-0.54,TRUE
51,26,130.69,-0.54,TRUE
52,26,130.69,-0.55,TRUE
53,27,130.52,-0.56,TRUE
54,27,130.54,-0.56,TRUE
55,27,130.54,-0.56,TRUE
56,28,130.67,-0.56,TRUE
57,28,130.67,-0.56,TRUE
58,26,130.68,-0.56,TRUE
59,26,130.69,-0.56,TRUE
60,26,130.69,-0.56,TRUE
61,28,130.66,-0.57,TRUE
62,28,130.66,-0.57,TRUE
63,28,130.67,-0.57,TRUE
64,29,130.55,-0.58,TRUE
65,29,130.55,-0.58,TRUE
66,28,130.64,-0.58,TRUE
67,30,130.3,-0.59,TRUE
68,30,130.3,-0.59,TRUE
69,30,130.31,-0.59,TRUE
70,30,130.31,-0.59,TRUE
71,31,130.58,-0.59,TRUE
72,31,130.6,-0.59,TRUE
73,23,130.73,-0.5,TRUE
74,23,130.73,-0.5,TRUE
75,32,119.745,-0.636389,TRUE
76,32,119.736,-0.642139,TRUE
