MB_urchin,MB_echin,MB_Molls,SPC,RC_IND_2018,KW_Jap,RMI_bik_02_03,RMI_jp_10,RMI_09_10,RMI_ail,RMI_Ailk_06,LTO,RLS,RC_EST,RC_IND,RC_ATL,RC_HAW,RC_RED,RC_ARB,NOAA_PR_1999_2003,NOAA_PR_2004_2013,NOAA_PR_2013_2018,NOAA_MMT,NOAA_NA11,CCC_P,ECOT,NOAA_Fen_08,CCC_C,CCC_M
Acanthaster planci,Acanthaster planci,,Acanthaster planci,Banded coral shrimp,Ardeadoris egretta,Lobster,A. maurantania,A. maurantania,CRUSTACEANS,Lobster,All inverts?,,Blue sea star,Banded coral shrimp,Banded coral shrimp,Banded coral shrimp,Banded coral shrimp,Banded coral shrimp,Ancylomenes pedersoni,Ancylomenes pedersoni,Ancylomenes pedersoni,Grazing urchin sum,Grazing urchin sum,Feather Duster Worms,Crown of Thorns (Acanthaster planci),alpheid groove,Feather Duster Worms,Banded Coral Shrimp
Allostichaster polyplax,Anneisia intermedius,,Acanthopleura gemmata,Black urchin,Astralium haematragum,Triton,T. anax,T. anax,Lobster,Pearl oyster - P. margaritifera,,,crown of thorns,crown of thorns,Diadema,black urchin,Diadema,black urchin,Anomura spp.,Anomura spp.,Anomura spp.,Sea cucumber sum,Sea cucumber sum,Christmas Tree Worms,Marbled Sea Cucumber (Pearsonothuria graffei),barnacles in coral,Christmas Tree Worms,Diadema/Long spined sea urchin
Asthenosoma ijimai,Anneissia bennetti,,Actinodendron sp.,Blue sea star,Astralium heimburgi,Cowrie,H. atra,H. atra,MOLLUSCS,small giant clam - T. maxima,,,diadema,diadema,Edible sea cucumber,cowries,COTS,cowries,Astrophyton muricatum,Astrophyton muricatum,Astrophyton muricatum,Edible Shell sum,Edible Shell sum,Flatworms,Black Sea Cucumber (Holothuria atra),crab gall,Flatworms,Pencil urchin
Asthenosoma intermedium,Anneissia japonicus,,Actinopyga echinites,Cowries,Atrina japonica,Pearl oyster - P. margaritifera,H. edulis,H. edulis,Cowrie,real giant clam - T. gigas,,,Edible sea cucumber,Edible sea cucumber,Flamingo tongue,COTS,Edible sea cucumber,COTS,Carpilius corallinus,Carpilius corallinus,Carpilius corallinus,Echinometra,Echinometra,Shrimp,Pinkfish Sea Cucumber (Holothuria edulis),gall crabs,Banded Coral Shrimp,Collector urchin/sea egg
Austrofromia polypora,Apostrichopus japonicus,,Actinopyga lecanora,Crown-of-thorns starfish (COTS),Atrina vexillum,small giant calm - T. maxima,B. argus,B. argus,Pearl oyster - P. margaritifera,fluted giant clam - T. squamosa,,,lobster,Giant clam total,Gorgonian,Diadema,Giant clam total,Diadema,Coralliophila caribaea,Coralliophila caribaea,Coralliophila caribaea,Echinothrix,Echinothrix,Banded Coral Shrimp,Orange Spiked Sea Cucumber (Stichopus chloronotus),hermit crab,Spiny Lobster,Atlantic Triton trumpet
Banded Brittle Star,Bohadschia graeffei,,Actinopyga mauritiana,Diadema,Bivalvia sp.1,real giant clam - T. gigas,T. ananas,T. ananas,small giant calm - T. maxima,smooth clam - T. derasa,,,pencil urchin,lobster,Helmet conch,Edible sea cucumber,Slate pencil urchin,Edible sea cucumber,Coralliophila spp. ,Coralliophila spp. ,Coralliophila spp. ,Diadema,Diadema,Lobster,Hermann's Sea Cucumber (Stichopus herrmanni),hermit crabs in coral,Cowries,Flamingo tongue
brittle star,Clarkcomanthus albinotus,,Actinopyga miliaris,Edible sea cucumber,Bivalvia sp.2,fluted giant clam - T. squamosa,T. maxima,T. maxima,real giant clam - T. gigas,horse’s hoof  - H. hippopus,,,sea fan,slate pencil urchin,Lobster ,Giant clam total,Triton,Giant clam total,Ctenoides scaber,Ctenoides scaber,Ctenoides scaber,Heterocentrotus,Heterocentrotus,Conch,Brown Sand Fish Sea Cucumber (Bohadschia vitiensis),mysid shrimp schools,Triton's Trumpet,Spiny Lobster 
Brown Feather Star,Clarkcomanthus comanthipinna,,Actinopyga palauensis,Flamingo tongue,Bivalvia sp.3,smooth clam - T. derasa,T. squamosa,T. squamosa,fluted giant clam - T. squamosa,Turbant shell Trochus,,,Slate pencil urchin,triton ,Pencil urchin,lobster,Trochus,Gorgonian ,Cyphoma gibbosum,Cyphoma gibbosum,Cyphoma gibbosum,Echinostrephus,Echinostrephus,Cowrie,Long Spined Urchins (Diadema setosum),banded coral shrimp,Cone Shell,
Cenolia sp. (Black feather star),Clarkcomanthus littoralis,,Actinopyga sp.,Giant clam total,Bivalvia sp.4,horse’s hoof  - H. hippopus,T. gigas,T. gigas,smooth clam - T. derasa,Cuttlefish,,,Spider crab,trochus,Queen Conch,pencil urchin,,Lobster,Damithrax spinosissimus,Damithrax spinosissimus,Damithrax spinosissimus,Tripneustes gratiella,Tripneustes gratiella,Triton,Cushion star (Culcita spp.),Molluscs,Drupella,
Centrostephanus rodgersii,Clarkcomanthus mirabilis,,Actinopyga spinea,Gorgonian,Bohadschia graeffei,Long-spined black s.u.,lambis big fingers,lambis big fingers,horse’s hoof  - H. hippopus,Squid,,,Tripneustes,,Tripneustes,Tripneustes,,Pencil urchin,Diadema antillarum,Diadema antillarum,Diadema antillarum,Linckia,Linckia,Cone Shell,Sea star (Linckia spp.),conus,Topshell,
Centrostephanus rodgersii ,Clarkcomanthus sp.,,Aiptasia sp.,Helmet conch,Calcinus minutus,Pencil urchin,lambis lambis,lambis lambis,Cuttlefish,Octopus,,,,,Triton,triton,,Short spine urchin,Echinometra lucunter,Echinometra lucunter,Echinometra lucunter,Acanthaster,Acanthaster,Drupella,Giant clams (Tridacna spp. OTHER),cowrie,Nudibranch,
Centrostephanus tenuispinus,Clypeaster japonicus,,Anadara antiquata,Lobster,Calcinus pulcher,"black-pink sea cuke,  H. edulis",helmet conch,helmet conch,Squid,Long-spined black s.u.,,,,,,,,Tripneustes,Echinometra spp. ,Echinometra spp. ,Echinometra spp. ,Culcita,Culcita,Topshell,Boring clam (Tridacna crocea),nudibranch,Other Gastropod,
cucumber- 8-3-10_t3_24-26 cuc(1) -H. atra in Guide to Moreton Bay p154 - prob misnamed,Comanthus alternans,,Anadara scapha,Pencil urchin,Calcinus seurati,"spiky sea cuke, H.ananas",trochus,trochus,Octopus,Pencil urchin,,,,,,,,triton,Echinometra viridis,Echinometra viridis,Echinometra viridis,Gomphoria,Gomphoria,Nudibranch,"Drupella snails (Drupella spp.,0, >0-10, >10-100, >100-1000)",Phyllidia,Octopus,
